Produk,Harga
VIEWSONIC Gaming Monitor 27 Inch XG2701,Rp.5.954.000
PLANTRONICS Blackwire 315.1 M,Rp.1.203.000
SAMSUNG Curved Gaming Monitor 27 Inch LC27FG70FQNXZA,Rp.7.567.500
STEELSERIES QcK - Black,Rp.227.500
LOGITECH Wireless Mouse Multi Device M585 [910-005117],Rp.684.500
ASUS NVIDIA GeForce GT 1030 GT1030-SL-2G-BRK,Rp.1.665.000
STEELSERIES Siberia 100 - Black,Rp.801.000
STEELSERIES QcK Heavy Large,Rp.464.500
STEELSERIES Kana - White,Rp.832.500
MICROSOFT Wireless Desktop 3050 [PP3-00024],Rp.873.000
LOGITECH Mechanical Gaming Keyboard G710+ [920-003889],Rp.2.421.000
ANYLINX Cable VGA 3+6 M/M Economic 1.5M - Black,Rp.25.500
ASUS LED Monitor 27 Inch MX279H,Rp.5.246.500
STEELSERIES Flux In-Ear Mobile - Black,Rp.849.500
ASUS LED Monitor 23.6 Inch VP247H,Rp.2.416.000
ASUS LED Monitor 23 Inch VC239H,Rp.2.321.000
ASUS LED Monitor 24 Inch VX24AH,Rp.4.945.000
JABRA UC Voice 750 MS Duo Dark [7599-823-309],Rp.2.018.500
ASUS LED Monitor 29 Inch MX299Q,Rp.8.418.500
TARGUS Aluminium Series 2-in-1 Lightning & Micro USB Cable [ACC99507AP-50] - Gold,Rp.222.000
VIEWSONIC LED Monitor 23.6 Inch VX2475Smhl-4K,Rp.7.669.500
SAMSUNG LED Monitor 27 Inch S27F350FHE,Rp.3.430.000
STEELSERIES Arctis 7 - White,Rp.2.402.000
LOGITECH Headset H150 - Fuchsia Pink [981-000455],Rp.231.500
VIEWSONIC LED Monitor 21.5 Inch VA2246a,Rp.1.615.000
STEELSERIES Ikari Glide,Rp.129.500
SONY Micro USB Charging and Transfer Cable CP-AB150 - White,Rp.106.000
TARGUS Car Charger with lightning to USB cable 2.1A - Black [APD007AP],Rp.303.000
ASUS LED Monitor 27 Inch PB278Q,Rp.9.183.000
LOGITECH Wireless Mouse M235 - Red [910-003412],Rp.302.000
STEELSERIES Siberia Elite Gaming Headset - White,Rp.3.746.000
HP Bluetooth Mouse Z5000 [W2Q00AA],Rp.473.500
LOGITECH G610 Orion Brown [920-007871],Rp.2.219.000
TARGUS Aluminium Series Lightning to USB Cable - Black [ACC994AP-50],Rp.197.000
V-GEN Memory PC 2GB DDR2 PC-6400,Rp.419.000
STEELSERIES QcK+,Rp.323.000
JABRA Evolve 20 MS Mono [4993-823-109],Rp.1.306.800
JABRA Link Cable [14201-22],Rp.539.500
BENQ LED Monitor Eye-Care 27 Inch EW2775ZH,Rp.3.248.000
COOLER MASTER Notepal CMC3 [R9-NBC-CMC3-GP],Rp.150.500
